City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,67.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1,Bluff,NZ,58.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Punta Arenas,CL,41.11,broken clouds,-53.15,-70.9167,Hotel Hain
3,Mataura,NZ,58.48,broken clouds,-46.1927,168.8643,Ellie's Villa
4,Touros,BR,78.17,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
6,Saldanha,ZA,63.46,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
7,Embonas,GR,57.83,clear sky,36.2269,27.8564,Hotel Ataviros
10,West Wendover,US,31.21,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
11,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Busselton,AU,62.96,scattered clouds,-33.65,115.3333,Observatory Guest House
14,Bahia Blanca,AR,61.52,clear sky,-38.7196,-62.2724,Hotel Argos
15,Ikom,NG,73.87,overcast clouds,5.9667,8.7063,Ebenezer Beim excellence hotel
17,Olean,US,57.78,clear sky,42.0776,-78.4297,Best Western Plus University Inn
20,Rikitea,PF,73.08,light rain,-23.1203,-134.9692,People ThankYou
21,Ushuaia,AR,40.66,broken clouds,-54.8,-68.3,Albatross Hotel
23,Port Elizabeth,ZA,67.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
24,Laguna De Perlas,NI,75.79,broken clouds,12.3429,-83.6712,Hotel Best View
25,Chuy,UY,60.24,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
29,Dakoro,NE,72.05,few clouds,14.5106,6.765,Shagon mai liverpool
31,Broome,US,55.85,clear sky,42.2506,-75.833,Chenango Valley State Park
32,Lyuban,BY,46.08,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
33,Kapaa,US,76.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
37,Jamestown,US,57.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Nyanguge,TZ,74.55,overcast clouds,-2.55,33.2,Macho lodge
39,Chilca,PE,62.1,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
40,Roura,GF,73.31,mist,4.7263,-52.3274,Amazonie Découverte SARL
42,Astana,KZ,30.15,light snow,51.1801,71.446,King Hotel Astana
43,New Norfolk,AU,63.88,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
44,Shelburne,CA,56.59,broken clouds,44.0787,-80.2041,The Retreat at the Farm
46,Nikolskoye,RU,48.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
47,Banda Aceh,ID,77.76,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
49,Manta,EC,69.55,broken clouds,-0.95,-80.7333,Balandra Hotel
