City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,67.37,70,0,4.0,clear sky
1,Bluff,NZ,-46.6,168.3333,58.8,73,16,10.63,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,41.11,60,75,8.05,broken clouds
3,Mataura,NZ,-46.1927,168.8643,58.48,52,55,3.47,broken clouds
4,Touros,BR,-5.1989,-35.4608,78.17,74,60,12.57,broken clouds
5,Albany,US,42.6001,-73.9662,54.59,83,74,3.11,broken clouds
6,Saldanha,ZA,-33.0117,17.9442,63.46,65,25,12.55,scattered clouds
7,Embonas,GR,36.2269,27.8564,57.83,53,0,2.01,clear sky
8,Qaanaaq,GL,77.484,-69.3632,-7.51,62,0,8.39,clear sky
9,Belaya Gora,RU,68.5333,146.4167,-27.76,100,52,2.39,broken clouds
10,West Wendover,US,40.7391,-114.0733,31.21,51,0,8.05,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,68.56,88,89,8.01,overcast clouds
12,Busselton,AU,-33.65,115.3333,62.96,40,42,19.89,scattered clouds
13,Aykhal,RU,66.0,111.5,-12.98,98,58,6.49,broken clouds
14,Bahia Blanca,AR,-38.7196,-62.2724,61.52,39,8,3.91,clear sky
15,Ikom,NG,5.9667,8.7063,73.87,93,100,1.77,overcast clouds
16,Tuktoyaktuk,CA,69.4541,-133.0374,21.16,96,100,5.32,light snow
17,Olean,US,42.0776,-78.4297,57.78,81,0,10.36,clear sky
18,Thompson,CA,55.7435,-97.8558,-8.25,100,48,1.95,scattered clouds
19,Pangnirtung,CA,66.1451,-65.7125,-5.8,93,75,4.38,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,73.08,86,78,3.13,light rain
21,Ushuaia,AR,-54.8,-68.3,40.66,75,75,2.3,broken clouds
22,Pevek,RU,69.7008,170.3133,2.5,96,100,3.69,overcast clouds
23,Port Elizabeth,ZA,-33.918,25.5701,67.1,99,67,5.99,broken clouds
24,Laguna De Perlas,NI,12.3429,-83.6712,75.79,88,75,4.61,broken clouds
25,Chuy,UY,-33.6971,-53.4616,60.24,96,92,7.23,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,-6.57,83,95,3.18,overcast clouds
27,Saskylakh,RU,71.9167,114.0833,-28.8,100,54,2.93,broken clouds
28,Caruray,PH,10.3094,119.0128,87.98,63,56,8.03,broken clouds
29,Dakoro,NE,14.5106,6.765,72.05,21,21,10.85,few clouds
30,Saint-Philippe,RE,-21.3585,55.7679,80.19,68,9,7.81,clear sky
31,Broome,US,42.2506,-75.833,55.85,84,0,8.05,clear sky
32,Lyuban,BY,52.7985,28.0048,46.08,92,92,8.34,overcast clouds
33,Kapaa,US,22.0752,-159.319,76.98,80,20,14.97,few clouds
34,Sapa,PH,5.1544,120.3241,83.1,75,35,3.85,scattered clouds
35,Port Alfred,ZA,-33.5906,26.891,65.17,89,87,8.01,overcast clouds
36,Kudahuvadhoo,MV,2.6708,72.8944,80.08,78,86,11.9,light rain
37,Jamestown,US,42.097,-79.2353,57.72,63,0,6.91,clear sky
38,Nyanguge,TZ,-2.55,33.2,74.55,61,99,6.87,overcast clouds
39,Chilca,PE,-12.5211,-76.7372,62.1,91,4,7.02,clear sky
40,Roura,GF,4.7263,-52.3274,73.31,100,100,0.0,mist
41,Georgetown,MY,5.4112,100.3354,87.73,70,20,6.91,few clouds
42,Astana,KZ,51.1801,71.446,30.15,86,100,17.9,light snow
43,New Norfolk,AU,-42.7826,147.0587,63.88,66,83,1.99,broken clouds
44,Shelburne,CA,44.0787,-80.2041,56.59,67,70,16.24,broken clouds
45,Upernavik,GL,72.7868,-56.1549,11.26,79,99,5.95,overcast clouds
46,Nikolskoye,RU,59.7035,30.7861,48.09,83,97,9.8,overcast clouds
47,Banda Aceh,ID,5.5577,95.3222,77.76,85,100,9.51,overcast clouds
