City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ostrovnoy,68.0531,39.5131,35.17,93,100,7.18,RU,2022-11-10 05:40:11
1,Saint-Georges,12.0564,-61.7485,80.28,89,40,11.5,GD,2022-11-10 05:40:11
2,Lebu,-37.6167,-73.65,54.1,82,73,17.0,CL,2022-11-10 05:31:31
3,Cape Town,-33.9258,18.4232,64.11,65,0,7.0,ZA,2022-11-10 05:30:01
4,Verkhnyaya Inta,65.9811,60.3094,24.21,87,100,2.44,RU,2022-11-10 05:40:12
5,Karratha,-20.7377,116.8463,83.17,37,0,24.7,AU,2022-11-10 05:33:35
6,Skjold,55.7971,9.9397,47.86,91,47,10.98,DK,2022-11-10 05:40:13
7,Provideniya,64.3833,-173.3,23.58,85,98,2.24,RU,2022-11-10 05:32:00
8,Tonj,7.2737,28.6822,80.08,51,98,3.11,SS,2022-11-10 05:31:12
9,Aksaray,38.3726,34.0254,46.87,73,16,4.74,TR,2022-11-10 05:40:13
10,Billings,45.7833,-108.5007,12.29,86,100,5.99,US,2022-11-10 05:40:14
11,Arrifes,37.7667,-25.7,68.23,94,75,17.27,PT,2022-11-10 05:40:14
12,Palm Beach,26.6503,-80.4498,74.98,94,100,20.51,US,2022-11-10 05:40:15
13,Port Lincoln,-34.7333,135.8667,64.08,68,99,13.67,AU,2022-11-10 05:30:53
14,Swarzedz,52.4129,17.085,50.05,89,0,9.22,PL,2022-11-10 05:40:16
15,Nanortalik,60.1432,-45.2371,30.15,83,100,11.16,GL,2022-11-10 05:33:55
16,Ushuaia,-54.8,-68.3,40.66,60,75,11.5,AR,2022-11-10 05:30:48
17,Sitka,57.0531,-135.33,37.29,70,100,12.66,US,2022-11-10 05:31:40
18,Busselton,-33.65,115.3333,58.6,86,94,14.45,AU,2022-11-10 05:30:52
19,Ribeira Grande,38.5167,-28.7,70.2,88,75,31.07,PT,2022-11-10 05:31:53
20,Guerrero Negro,27.9769,-114.0611,64.17,70,100,17.07,MX,2022-11-10 05:34:30
21,Vaini,-21.2,-175.2,78.96,89,75,6.91,TO,2022-11-10 05:31:28
22,Darnah,32.767,22.6367,67.77,61,0,13.56,LY,2022-11-10 05:40:17
23,Henderson,36.0397,-114.9819,53.04,45,0,8.05,US,2022-11-10 05:37:00
24,Aswan,24.0934,32.907,68.05,50,0,8.97,EG,2022-11-10 05:30:34
25,Pevek,69.7008,170.3133,-5.08,98,100,1.41,RU,2022-11-10 05:32:15
26,Muros,42.7762,-9.0603,58.08,94,84,6.78,ES,2022-11-10 05:34:52
27,Dikson,73.5069,80.5464,-0.6,94,63,15.88,RU,2022-11-10 05:31:32
28,Mayo,38.8876,-76.5119,51.75,82,0,3.44,US,2022-11-10 05:40:19
29,Mount Gambier,-37.8333,140.7667,69.39,65,82,13.02,AU,2022-11-10 05:30:56
30,Quatre Cocos,-20.2078,57.7625,80.1,62,8,10.04,MU,2022-11-10 05:32:44
31,Mataura,-46.1927,168.8643,58.48,50,0,4.81,NZ,2022-11-10 05:30:54
32,Egvekinot,66.3167,-179.1667,12.0,92,100,5.08,RU,2022-11-10 05:40:21
33,Leh,34.1667,77.5833,30.38,58,91,6.51,IN,2022-11-10 05:31:42
34,Saint-Pierre,-21.3393,55.4781,78.91,65,0,16.11,RE,2022-11-10 05:34:12
35,Rikitea,-23.1203,-134.9692,71.02,93,100,9.84,PF,2022-11-10 05:30:49
36,Maniitsoq,65.4167,-52.9,16.72,50,100,3.22,GL,2022-11-10 05:40:22
37,Skjervoy,70.0311,20.9714,33.8,71,1,14.97,NO,2022-11-10 05:40:22
38,Cherskiy,68.75,161.3,-2.52,97,100,8.37,RU,2022-11-10 05:32:59
39,Cidreira,-30.1811,-50.2056,62.17,88,2,1.21,BR,2022-11-10 05:34:31
40,New Norfolk,-42.7826,147.0587,82.92,36,69,7.0,AU,2022-11-10 05:31:32
41,Bambous Virieux,-20.3428,57.7575,80.22,65,20,6.91,MU,2022-11-10 05:31:02
42,Aleksandrov Gay,50.147,48.5704,37.35,73,17,7.85,RU,2022-11-10 05:40:23
43,Kirkenaer,60.4564,12.0582,39.36,95,13,3.87,NO,2022-11-10 05:40:24
44,San Andres,12.5847,-81.7006,82.42,78,40,6.91,CO,2022-11-10 05:40:24
45,Hithadhoo,-0.6,73.0833,81.88,71,81,12.37,MV,2022-11-10 05:31:23
46,Talnakh,69.4865,88.3972,6.21,99,100,8.72,RU,2022-11-10 05:33:17
47,Tumarbong,10.3766,119.4579,84.81,77,92,10.74,PH,2022-11-10 05:40:26
48,Harper,4.375,-7.7169,77.31,85,34,6.58,LR,2022-11-10 05:32:54
49,Umba,66.6871,34.3429,33.89,91,100,7.43,RU,2022-11-10 05:32:18
50,Puerto Ayora,-0.7393,-90.3518,66.54,92,38,6.98,EC,2022-11-10 05:33:00
51,Mar Del Plata,-38.0023,-57.5575,62.1,91,0,11.01,AR,2022-11-10 05:29:21
52,Tbilisskaya,45.3633,40.19,46.0,81,2,8.7,RU,2022-11-10 05:40:27
53,Bredasdorp,-34.5322,20.0403,64.11,58,24,16.89,ZA,2022-11-10 05:31:25
54,Punta Arenas,-53.15,-70.9167,33.91,75,0,9.22,CL,2022-11-10 05:30:58
55,Eucaliptus,-17.5833,-67.5167,44.46,51,37,1.99,BO,2022-11-10 05:40:28
56,Khasan,42.4308,130.6434,49.6,57,66,8.57,RU,2022-11-10 05:40:28
57,Bengkulu,-3.8004,102.2655,80.98,76,100,3.2,ID,2022-11-10 05:30:54
58,Vestmannaeyjar,63.4427,-20.2734,43.9,81,100,16.71,IS,2022-11-10 05:32:39
59,Namatanai,-3.6667,152.4333,84.38,70,75,7.87,PG,2022-11-10 05:31:24
60,Isangel,-19.55,169.2667,78.71,81,25,8.28,VU,2022-11-10 05:33:16
